?,,School,School Group,Free & For Sale Group,Other Group 1
,,Yale,groupsatyale,https://www.facebook.com/groups/yaleforsale,
,,RIT,,,
,,Northern Michigan University,,,
,,UO,,,
,,UCR,,,
,,Pitt,,,
,,Cal Poly SLO,,,
,,California,,,
,,RISD,,,
,,Princeton,,,
,,Smith,,,
,,Chapman,,,
,,Sonoma,,,
,,University of Southampton,,,
,,Bennington College,,,
,,Pratt,,,
,,UW Whitewater,,,
,,Truman State,,,
,,Macalaestar,,,
,,MCAD,,,
,,NC State,,,
,,Liberty,,,
,,NAU,,,
,,Central Michigan,,,
,,McMaster,,,
,,UNSW,,,
,,OSU,,,
,,Berklee College of Music,,,
,,Vassar,,,
,,Texas Tech,,,
,,ANU,,,
,,Calvin College,,,
,,Emerson,,,
,,Tennessee,,,
,,Seattle Pacific,,,
,,Ringling,,,
,,St. Edward's University,,,
,,CC,,,
,,Grinnell,,,
,,Wisc Stout,,,
,,University of Buffalo,,,
,,Gonzaga,,,
,,GA Southern,,,
,,Eckerd,,,
,,CSU Fullerton,,,
,,UA,,,
,,Eastern Washington,,,
,,JMU,,,
,,Radford,,,
,,Cincinnati,,,
,,PSU,,,
,,Ball State,,,
,,Utampa,,,
,,SVSU,,,
,,Western Michigan,,,
,,Bryn Mawr,,,
,,S.F. State,,,
,,Uconn,,,
,,Western,,,
,,NIU,,,
,,CSU Long Beach,,,
,,USF,,,
,,Kennesaw State,,,
,,SHSU,,,
,,Azusa Pacific,,,
,,QUT,,,
,,University of Vermont,,,
,,Hampshire,,,
,,Kansas,,,
,,PLU,,,
,,BYU Idago,,,
,,Mt. Holyoke,,,
