List Name,List Title,URL
ALL-JD,ALL-JD,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALL-JD
ALL-JD-JDMBA,ALL-JD-JDMBA,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALL-JD-JDMBA
ALL-LAW-STUDENTS,ALL-LAW-STUDENTS,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALL-LAW-STUDENTS
ALL-LIB-STAFF,all-lib-staff,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALL-LIB-STAFF
ALL-LLM,ALL-LLM,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALL-LLM
ALLADALAB,ALLADALAB,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALLADALAB
ALLERGY-676,Allergy 676,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALLERGY-676
ALLERGY-CLINICAL,Allergy Clinical Fellows,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALLERGY-CLINICAL
ALLERGY-JOURNAL,Allergy-Immunology Journal Club,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALLERGY-JOURNAL
ALLERGY-LECTURE,Allergy Immunology Core Curriculum Lecture Series,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALLERGY-LECTURE
ALLISON,ALLISON,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALLISON
ALLISONMAILROOM,Employees of Allison Mailroom listserv,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALLISONMAILROOM
ALLM12,Summer LLM,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALLM12
ALLPSD,Public Services Division,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALLPSD
ALPHACHI,Alpha Chi Omega Sorority Communcations,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALPHACHI
ALPHAPHI,ALPHAPHI,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALPHAPHI
ALTIRIS-USERS,Altiris-Users,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALTIRIS-USERS
ALTLOANS,ALTLOANS,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALTLOANS
ALTOS,ALTOS,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ALTOS
AMBASSADORS,NU Ambassadors,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AMBASSADORS
AMEERLAB,AMEERLAB,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AMEERLAB
AMESFACULTY,AMES Faculty,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AMESFACULTY
AMNESTYUG,Amnesty International,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AMNESTYUG
AMWA,AMWA,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=AMWA
ANIME,Anime Club,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ANIME
ANUW,ANUW,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ANUW
ANUW-MENTORING,ANUW Mentoring Program,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ANUW-MENTORING
ANUW-MENTORING14,2014 ANUW Mentoring Program,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=ANUW-MENTORING14
APAC,APAC,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=APAC
APAC_EXEC,APAC_EXEC,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=APAC_EXEC
APALSA,APALSA,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=APALSA
